Rank,Country,Population,% of world population,Date,Source
1,China,1401841400,0.180,20-Mar-20,National population clock
2,India,1360013641,0.175,20-Mar-20,National population clock
3,United States,329482326,0.042,20-Mar-20,National population clock
4,Indonesia,266911900,0.034,01-Jul-19,National annual projection
5,Pakistan,219005520,0.028,20-Mar-20,2017 census
6,Brazil,211279344,0.027,20-Mar-20,National population clock
7,Nigeria,206139587,0.027,01-Jul-20,UN projection
8,Bangladesh,168298782,0.022,20-Mar-20,National population clock
9,Russia,146745098,0.019,01-Jan-20,National estimate
10,Mexico,126577691,0.016,01-Jul-19,National annual projection
11,Japan,126010000,0.016,01-Feb-20,Monthly provisional estimate
12,Philippines,108429283,0.014,20-Mar-20,National population clock
13,Egypt,100146158,0.013,20-Mar-20,National population clock
14,Ethiopia,98665000,0.013,01-Jul-19,National annual projection
15,Vietnam,96208984,0.012,01-Apr-19,Preliminary 2019 census result
16,DR Congo,89561404,0.012,01-Jul-20,UN projection
17,Iran,83295597,0.011,20-Mar-20,National population clock
18,Turkey,83154997,0.011,31-Dec-19,National annual estimate
19,Germany,83149300,0.011,30-Sep-19,National estimate
20,France,67069000,0.009,01-Feb-20,Monthly national estimate
21,Thailand,66483567,0.009,20-Mar-20,National population clock
22,United Kingdom,66435600,0.009,30-Jun-18,National annual estimate
23,Italy,60243406,0.008,31-Oct-19,Monthly national estimate
24,South Africa,58775022,0.008,01-Jul-19,National annual estimate
25,Tanzania,55890747,0.007,01-Jul-19,National annual projection
26,Myanmar,54339766,0.007,01-Jul-19,National annual projection
27,South Korea,51780579,0.007,01-Jul-20,National annual projection
28,Colombia,49395678,0.006,30-Jun-19,National annual projection
29,Kenya,47564296,0.006,31-Aug-19,2019 census result
30,Spain,47100396,0.006,01-Jul-19,National estimate
31,Argentina,44938712,0.006,01-Jul-19,National annual projection
32,Algeria,43000000,0.006,01-Jan-19,National annual projection
33,Sudan,42358885,0.005,20-Mar-20,National population clock
34,Ukraine,41902416,0.005,01-Jan-20,Monthly national estimate
35,Uganda,40299300,0.005,01-Jul-19,National annual projection
36,Iraq,39127900,0.005,01-Jul-19,National annual projection
37,Poland,38386000,0.005,30-Jun-19,National estimate
38,Canada,37963887,0.005,20-Mar-20,National population clock
39,Morocco,35844167,0.005,20-Mar-20,National population clock
40,Saudi Arabia,34218169,0.004,01-Jul-19,National estimate
41,Uzbekistan,34079570,0.004,20-Mar-20,National population clock
42,Malaysia,32724760,0.004,20-Mar-20,National population clock
43,Afghanistan,32225560,0.004,01-Jul-19,National annual estimate
44,Venezuela,32219521,0.004,30-Jun-19,National annual projection
45,Peru,32131400,0.004,30-Jun-19,National annual projection
46,Angola,31127674,0.004,2020,National projection
47,Ghana,30280811,0.004,01-Jul-19,National projection
48,Mozambique,30066648,0.004,2020,National projection
49,Yemen,29825968,0.004,01-Jul-20,UN projection
50,Nepal,29609623,0.004,01-Jul-19,National annual projection
51,Cameroon,26545864,0.003,01-Jul-20,UN projection
52,Ivory Coast,25823071,0.003,01-Jul-19,National projection
53,Madagascar,25680342,0.003,18-May-18,Provisional 2018 census result
54,Australia,25651966,0.003,20-Mar-20,National population clock
55,North Korea,25450000,0.003,01-Jul-19,National annual projection
56,Taiwan,23604265,0.003,31-Jan-20,Monthly national estimate
57,Niger,22314743,0.003,01-Jul-19,National annual projection
58,Sri Lanka,21803000,0.003,01-Jul-19,National estimate
59,Burkina Faso,20870060,0.003,01-Jul-19,National annual projection
60,Mali,19973000,0.003,01-Jul-19,National annual projection
61,Romania,19405156,0.003,01-Jan-19,National annual estimate
62,Malawi,19129952,0.002,01-Jul-20,UN projection
63,Chile,19107216,0.002,01-Jul-19,National annual projection
64,Kazakhstan,18666464,0.002,20-Mar-20,National population clock
65,Syria,17500657,0.002,01-Jul-20,UN projection
66,Ecuador,17447936,0.002,20-Mar-20,National population clock
67,Netherlands,17446481,0.002,20-Mar-20,National population clock
68,Zambia,17381168,0.002,01-Jul-19,National annual projection
69,Guatemala,16604026,0.002,01-Jul-19,National annual projection
70,Senegal,16209125,0.002,01-Jul-19,National annual projection
71,Somalia,15893219,0.002,01-Jul-20,UN projection
72,Chad,15692969,0.002,01-Jul-19,National annual projection
73,Cambodia,15288489,0.002,03-Mar-19,Provisional 2019 census result
74,Zimbabwe,15159624,0.002,01-Jul-19,National annual projection
75,South Sudan,12778250,0.002,01-Jul-19,National annual projection
76,Rwanda,12374397,0.002,01-Jul-19,National projection annual
77,Guinea,12218357,0.002,01-Jul-19,National projection
78,Benin,11733059,0.002,01-Jul-19,National projection annual
79,Tunisia,11722038,0.002,01-Jul-19,National estimate
80,Haiti,11577779,0.001,01-Jul-19,National annual projection
81,Belgium,11524454,0.001,01-Jan-20,Monthly national estimate
82,Bolivia,11469896,0.001,01-Jul-19,National projection annual
83,Cuba,11209628,0.001,31-Dec-18,National annual estimate
84,Burundi,10953317,0.001,01-Jul-19,National annual projection
85,Greece,10724599,0.001,01-Jan-19,National estimate
86,Czech Republic,10681161,0.001,30-Sep-19,National quarterly estimate
87,Jordan,10639984,0.001,20-Mar-20,National population clock
88,Dominican Republic,10358320,0.001,01-Jul-19,National projection
89,Sweden,10333456,0.001,31-Jan-20,National monthly estimate
90,Portugal,10276617,0.001,31-Dec-18,National annual estimate
91,Azerbaijan,10067108,0.001,01-Jan-20,National estimate
92,United Arab Emirates,9890400,0.001,01-Jul-20,UN projection
93,Hungary,9772756,0.001,01-Jan-19,National estimate
94,Belarus,9413446,0.001,04-Oct-19,Preliminary 2019 census result
95,Israel,9174150,0.001,20-Mar-20,National population clock
96,Honduras,9158345,0.001,01-Jul-19,National annual projection
97,Tajikistan,9127000,0.001,01-Jan-19,National estimate
98,Papua New Guinea,8935000,0.001,2020,National annual projection
99,Austria,8902600,0.001,01-Jan-20,Quarterly provisional figure
100,Switzerland,8586550,0.001,30-Sep-19,National provisional figure
101,Sierra Leone,7901454,0.001,01-Jul-19,National annual projection
102,Togo,7538000,0.001,01-Jul-19,National annual projection
103,Hong Kong (China),7500700,0.001,31-Dec-19,National estimate
104,Paraguay,7152703,0.001,01-Jul-19,National annual projection
105,Laos,7123205,0.001,01-Jul-19,National annual projection
106,Bulgaria,7000039,0.001,31-Dec-18,National estimate
107,Serbia,6963764,0.001,01-Jan-19,National annual estimate
108,Libya,6871287,0.001,01-Jul-20,UN projection
109,Lebanon,6825442,0.001,01-Jul-20,UN projection
110,Kyrgyzstan,6523500,0.001,01-Jan-20,National estimate
111,El Salvador,6486201,0.001,01-Jul-20,UN projection
